,tweet,target
56,cbi conspiracy was hatched in a very planned and secret manner over manish sisodia arrest cbi seeks 5 days remand in hearing manishsisodia manishsisodiaarrested cbi aap bjp,0
57,home minister amit shah has called an urgent meeting of t bjp leaders tomorrow in delhi the state president national general members from the state and mps were asked to attend the meeting union home minister will visit hyderabad on the 12th of march,1
58,virsanghvi basically aap does not have supporters in legal community like congress bcus it still has some level of hope among secular lot among them aap with its toolkit of copying communal undertones of bjprss ca get bcus most top legal minds amenable to sanghi cause r with bjp,1
59,aap is gaining more respect and bjp is loosing more respect now because of their doings in the country,1
60,bjp leader khushbu sundar is nominated as a member of the national commission for women ncw bjp,1
61,cbi conspiracy was hatched in a very planned and secret manner over manish sisodia arrest cbi seeks 5 days remand in hearing manishsisodia manishsisodiaarrested cbi aap bjp,0
62,the bengal unit of aamaadmiparty protesting infront of bjp state office demandedd justice for manishsisodia who unjustly targeted modifearskejriwal freemanishsisodia stoppoliticalrepression sandeeppathak arvindkejriwal aap aapinbengal timesnow amp republic bangla,1
63,aap mp lambasts india s ruling bjp over delhi deputy cm sisodiaarrest give me cbi will arrest modi adani within 2 hours deputy cm manishsisodia policy sisodia manishsisodiaarrested news newsnight newsbreak newsupdates newszero,0
64,india indians modi bjp rss on this 27th feb a sincere advice to all indiots,1
65,a division bench of calcuttahighcourt on monday cleared bjp plea to file a pil over the attack on the convoy of union minister of state for home nisithpramanik in west bengal allegedly by the ruling trinamool congress activists,0
66,hm amitshah has called an urgent meeting of telangana bjp leaders tomorrow in delhi the state president national general members from the state and mps were asked to attend the meeting union home minister will visit hyderabad on the 12th of march,1
67,transgender will also get a chance in government recruitment madhyapradesh shivrajsinghchouhan governmentjobs mpgovernment transgender transgenderrights video videoviral bjpgovernment bjp,1
68,pmmodi will also be inaugurating various developmental work during his belagavi visit on monday read more at modi bjp narendramodi belagaviwelcomesmodi karnatakaelection2023 karnatakaelections2023 karnataka karnatakawelcomesmodi,1
69,iiiushiii bjp doesn t need him he s better off languishing in congress,1
70,thank god that delhi is not punjab otherwise the mob can get katar imandaar out of custody by putting pressure on the police delhiliquorscam delhihighcourt cbi punjabpolice bjp,1
71,live pm narendramodi ji launches multiple development initiatives in belagavi karnataka pmoindia bjp4india mygovindia adgpi indiannavy nsitharaman nstomar tcgehlot bsbommai bjp4karnataka namo bjp newindia,1
72,live pm narendramodi ji launches multiple development initiatives in belagavi karnataka pmoindia bjp4india mygovindia adgpi indiannavy jpnadda joshipralhad mangalsangadi bsbommai bjp4karnataka namo bjp newindia,1
73,sanjay raut on manish sisodia arrest are there in bjp mahatmas bjp,0
74,late cong leader ahmedpatel daughter mumtazpatel who has been elected as aicc member hit out at bjp saying that divide is much deeper today as there has been a deliberate attempt by the current ruling dispensation probably to grab power read,1
75,majorpoonia india indians modi bjp rss on this 27th feb a sincere advice to all indiots,1
76,unknown facts about lord rama elder sister jaishreeram hindu ram hinduism india hanuman jayshriram hanumanji bjp,1
77,drshamamohd narendramodi yes rajeev gandhi pm acnowledged this problem in public it is also true dr manmohan singh used software technology database for individual beneficiary however large scale cash transfer of rs 6000 is happening under nda using upa created database to plug leakages inc bjp,1
78,bjp can stoop to any level for the power is this what we call democracy when you can t respect people s decision then how do you think you work for their betterment sisodiaarrest,1
79,meghalayaelections 2023 bjp state chief casts his vote says people vote i will become mla meghalayapolls 2023 live updates electionswithet,1
80,this time it looks difficult never seen cm and deputy cm campaign for a bypoll although past patterns suggest bjp might sail through,0
81,let law take its own course read as mkatju writes i am no supporter of bjp but one can not condone the misdeeds of politicians however high they may be merely because they are opposing the bjp sisodia aap aamaadmiparty aapdelhi delhiliquorscam,0
82,if the hindenburgreport exposure of adani can create consensus on the ground it will be a step ahead it suits the bjp to have a divided opposition a unified one can be a cause for worry rajalakshmi writes,1
83,it was year 2010 when amit shah ji was home minister of gujarat and p chidambaram was then finance minister it was indian national congress who continuously raided opposition specially bjp by wrongly using the government agencies and amit shah was jailed in corruption cases,0
84,the kind of revenge politics bjp running in the country more resembles undeclared emergency situation says rsrbrs bjp4india on nationalmedia was facing tough situations because of brsparty ktrbrs,0
85,bjp alleged connection with drug lords what you need to know bjp facts rss drug modi,1
86,bjp alleged connection with drug lords what you need to know bjp facts rss drug modi,1
87,40 of that as kick back to bjp through electoralbonds to buy mla,1
88,bjp spokesperson and nationalexecutivecommitteemember khushbusundar gets nominated as a member of the national commission for women ncw khushsundar riaztheboss parasriazahmed1,1
89,invest in your dreams grind now and shine later trust love status sad victim photography vibes marriage lucky fashion dressing sense like videos memes trolls feedback hit avereage elections bjp mumbai shivaji chatrapati navel heroine good wiki,1
90,invest in your dreams grind now and shine later trust love status sad victim photography vibes marriage lucky fashion dressing sense like videos memes trolls feedback hit avereage elections bjp mumbai shivaji chatrapati navel heroine good wiki,1
91,invest in your dreams grind now and shine later trust love status sad victim photography vibes marriage lucky fashion dressing sense like videos memes trolls feedback hit avereage elections bjp mumbai shivaji chatrapati navel heroine good wiki,1
92,the shocking connection between bjp and drug lords bjp exposed bjp modi exposed,0
93,the shocking connection between bjp and drug lords bjp exposed bjp modi exposed,0
94,delhi dy cm manishsisodia leaves cbi hq will reach delhi s rouse avenue court shortly arunima24 shares details with grihaatul aap bjp delhi,1
95,wishing former cm of karnataka bsy a very happy birthday he s the tallest leader of bjp down south if he wasn t around it would have taken bjp several more years to form its first government in kar he s the leader for many and the tallest living lingayat leader,1
96,bjp state president and candidate of west shillong ernest mawrie cast his vote at polling station in mawprem on monday afternoon,1
97,pmcpune pls remove this illegal hoarding put by a bjp supporter address bravuria society baner balewadi road balewadi sidshirole,0
98,delhipolice detained several aap workers protesting near bjp hq against deputy cm manishsisodia arrest a day ago by the cbi in the liquor policy case the detained workers including women were taken to the north district in two buses,0
99,breakingnews delhi dy cm manishsisodia leaves cbi hq to be produced in delhi s rouse avenue court amid heavy security shares details with grihaatul aap bjp delhi,1
100,the gujarat lobby amp and pro bjp investors in gujarat,1
101,after rera edu board etc now bhagwantmann providing jobs to punjabis 2 yoga instructors hired by hoshiarpur ayurveda uni rs 1 lac pm each from bihar who don t know abc of pbi can t we find yoga instructors fm punjab arvindkejriwal calling shots bjp,1
102,leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
103,aap protests at bjp offices across states delhi dy cm produced in court amid heavy security kaidensharmaa shares details with grihaatul aap bjp delhi,1
104,pmmodi s special gesture asks audience to flip on mobile torches to greet bsyediyurappa on birthday karnataka bsybirthday bjp,1
105,congratulations to bjp national executive committee member smt khushboo ji for being nominated as a member of the national commission for women this is a recognition of her relentless pursuit amp fight for women rights bjp4ind khushboo,1
106,bs yediyurappa dismisses bjp chief nalin kumar kateel s rhetoric says he doesn t agree bjp bsyediyurappa karnataka viral nalinkumarkateel karnatkabjp viral news karnatakaassemblyelections,1
107,drshamamohd narendramodi arey you got confused between bureaucrat that he was but now he a full fledged member of bjp amp part of narendramodi led cabinet in which he externalaffairsminister now wts ur point here wt should a member of rajyasabha do then if not expose inc past corruption,1
108,manish sisodia deleted files and data recovered by cbi from his computer protest manishsisodia aap bjp arvindkejriwal,0
109,this is women empowerment which bjp offers women s are fearless and empowered in myogiadityanath jis rule,1
110,unlike the bjp,1
111,breaking bjp leader khushbusundar is nominated as a member of the national commission for women ncw reports ani,1
112,what is this brs bjp government doing to stop the suicides in the academic institutions why does nobody speak on it,0
113,is going on in sagardighi wb main opposition bjp is nowhere to be found mainly fight between tmc amp congress supported by cpim polling is going on peacefully due to central force police amp people spontaneity result 2nd march bjp deposit will be forfeited,1
114,live pm narendramodi ji holds roadshow in belagavi karnataka pmoindia bjp4india mygovindia adgpi indiannavy jpnadda nsitharaman joshipralhad tcgehlot bsbommai bsybjp nalinkateel bjp4karnataka namo bjp newindia,1
115,live pm narendramodi ji holds roadshow in belagavi karnataka pmoindia bjp4india mygovindia rajnathsingh adgpi indiannavy jpnadda amitshah drsjaishankar mangalsangadi bsbommai bjp4karnataka namo bjp newindia,1
116,as aap leaders attacked the ruling bjp and the cbi over the deputy chief minister manishsisodia s arrest in the delhi excise policy case the bjp and congress mounted a on the aap leader,0
117,powerful speech by rahulgandhi east india company owner gautam das modi share holder bjp rss vhp employees bajrangd investors deshi people banks lic assets public institutions estimated in 2014 bjp rss vhp bajrangdal adaniscam modi adani,1
118,surely the pm of the country become adani das see the steps taken by the govt nifty to save the scamster adaniscam you and me or the country is nothing these rss bjp narendramodi and cronies combo surely not in the welfare of people bjpreligiouspolitics,1
119,amitmalviya gautamdasmodi must have very low opinion of bjp workers to lie with a straight face,0
120,hypocrite tied up with the muftis,1
121,aap volunteers protested in chandigarh against the arrest of delhi deputy cm manish sisodia manishsisodia cbi protest aap chandigarh bjp arvindkejriwal aamadamiparty newdelhi newsupdate dailynews therisingpanjab punjab news,0
122,bjp sweeps egranaskarpur cooperativeelections in purbamedinipur westbengal bjp won all the nine seats while tmc won none,1
123,pm could have simply said no links with adani rahul at congress plenary gautamadani congress rahulgandhi pmmodi industry bjp,0
124,how many of aap elected mlas joined bjp in gujarat,1
125,bjp rjp tejashwiyadav tejpratapyadav aajtak inc jdu pappuyadav samajwadiparty samajwadiparty tmc ghantibazake raxaulsp bihardgp nitishkumar sambitpatra what is democracy,1
126,knows that whatever you write and say is fabricated bjp mp manoj tiwari to arvind kejriwal bjp manojtiwari manishsisodia,1
127,bhagwantmann arvindkejriwal of aap say no one will be allowed to disturb law and order in punjab is the gangwar murderers of isidhumoosewala killers and lawlessness happening with his consent shameful comments playing havoc with border state pm amitshah bjp ilalpura,0
128,middaynews ncp mla arrives with son to attend maharashtra budget session bjp legislator uses walker ncp bjp maharashtrabudget maharashtra maharashtranews,1
129,watch this video and see the truth stop following the most corrupt pay they are even better than congress on the a of stealing aap newdelhi delhi india bharat hindustan bjp arvindkejriwal corrupt,0
130,aap workers protest against the arrest of manishsisodia who will be produced in delhi s rouse avenue court shortly arunima24 amp kaidensharmaa share details with grihaatul aap bjp delhi,0
131,ismataraa because bjp and aap are two sides of same coin what is going on is match fixing between them to keep congress away it is as simple as that btw has aap condemned the attempt by bjp police to arrest,0
132,narendramodi leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
133,yadavakhilesh not only delhi up ka bhi yahi haal h bjp sp modifearskejriwal delhi up,1
134,distance between aap headquarter and bjp head quarter just 950 meters the aapprotest outside bjp office is a threat to peace what is bjp4delhi volunteers also start out from their hq and move towards aap hq kudos to delhipolice for maintaining law and order,1
135,they want india also to sanction russia which is not happening as the current bjp modi government is on russia side that why soros wants regime change amp wants to put gandhi or kejriwal to fight amp china which will be devastating for india,0
136,news the arrest of manishsisodia came at a time when delhi was witness to a heightened dispute over the distribution of power between the bjp govt at the centre amp the aap govt in the national capital territory of delhi,0
137,khushsundar narendramodi ncwindia if it s growing leaps amp bounds why your bjp party let free the sanskari brahmin child murderers amp rapists of bilkisbano you too were seemingly annoyed at the issue but did nor achieved anything,0
138,order having heard ld counsel for the applicant as also the amicus curiae and counsel for the eci and having perused the material placed on record we are satisfied that a clear case for review and recall of para 63 of order dated made out supremecourtofindia bjp,1
139,assam aap workers stage protest in front of bjp office in guwahati chant bjp go back,0
140,bench says it will not hear the first respondent as matter of contempt only between court and contemnor supremecourtofindia bjp,0
141,modi government likely to withdraw military from remote areas of kashmir in phased manner report kashmir kashmirmilitary jammuandkashmir narendramodi modigovt amitshah bjp,1
142,sc what we are saying is it is a fit case to recall that part of the order justice gavai it is not about penalising but the stigma supremecourtofindia bjp,1
143,amitlelislayer i do know why most of the misinformation spreads hv in their twtr handle nd hv photos with heavy weight bjp4delhi bjp4india bjp4uk bjp4maharashtra bjp4mp bjp4uttarprdesh leaders or linked to bjp boiled anda hv 19k followers new digital india,0
144,justice gavai mr amicus it is for parliament to take a call whether it wants to debar all with criminal antecedents justice maheshwari sir again we are entering into an arena with subjective elements in decison making process supremecourtofindia bjp,1
145,hinduism does not allow bigotry supremecourt rejects bjp leader ashwiniupadhyay pil to rename places named after invaders,0
146,aam aadmi party workers protest against the arrest of delhi deputy cm manishsisodia in connection with liquor policy case preetismenon aap with views mihirz mumbai arunima24 amp kaidensharmaa share details with grihaatul aap bjp delhi,1
147,narendramodi leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
148,bjp projected to get decisive lead beating alliance in tripura tripuraelection2023,0
149,here s an video about repo rate please do watch and subscribe incometax homeloan indianarmy indvaus reporate trending emi centralbanks centralgovertment bjp modi rrr ramcharanð“ƒµ loans trendingnews electionresults,1
150,amicus curiae kv viswanathan case for review not made out they are arguing the same points justice gavai contempt has to be deliberate wilful viswanathan yes this was applied for other parties as well supremecourtofindia bjp,1
151,sc today only 1 party before us counsel yes bench discusses supremecourtofindia bjp blsanthosh,1
152,manasa4bjp stop involving politics there are more crimes on women in bjp ruling states lets wait for the action,0
153,the meeting will focus on mission 90 agenda other strategies for assemblyelections scheduled later this year read more at meet assemblyelection assemblyelections2023 politicslive politics bjp telangananews telanganaassembly amitshah delhi,1
154,actor turned politician khushsundar appointed member national commission for women bjp tamilnadu,1
155,on 26 february the central bureau of investigation detained manish sisodia msisodia the deputy chief minister of delhi regarding his involvement in the delhi excise policy scam case modi manishsisodia kejriwal pmmodi bjp aap arvindkejriwal politicalnews latestnews,0
156,the political engineering is undoubtedly aimed to install a bjp chief minister to extend the colonial agenda and ethnic cleansing of kashmiris especially muslims,1
157,khushitext rss bjp leaders damaad all daughters of rss bjp leaders will be future wives of rohingya men in islamic republic of india in 2040 rss bjp safeguarding and buying immunity in islamic india by giving them doles now such is fear in them,1
158,shri narendramodi ji thrashing bbcnews amp showing bbc the mirror we need this modiji back in 2024 giving befitting reply to all anti nationals those words by modiji me goosebumps you britishers shouldn t preach us human rights narendramodi modi bjp,1
159,protest against bjp by christians and also great testimony only jesus is living jesus and god amen,1
160,delhi bjp wants to arrest every aap leader they want to finish our political party saurabh bhardwaj aap leader as massive protest being held against manishsisodia arrest kaidensharmaa reports live from ground aap bjp delhipolice,0
161,mahuamoitra every traitor jealus and hate from asvhprssrkmrw 5 in one bjp,0
162,bjp holds protest against killing of kashmiri pandits in kashmir bjp kashmiripandits jammukashmir terrorist pulwama sanjaysharma bjp4jnk,0
163,ani who will win delhi in 2025 aap bjp congress,1
164,mahuamoitra would you want the saffron guys to ask what color chaddi u wearing how wud u feel bjp,1
165,the bjp held protests at several places in kashmir against the killing of kashmiri pandit bank guard sanjay sharma kashmiripandit kashmiripandits kashmiripanditgenocide bjp protest bjp4india,0
166,pm narendramodi ji remembers lata didi ustadbismillahkhan during his mannkibaat address namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
167,pulwamakilling bjp protest in srinagar against target killing of kashmiri pandit,0
168,well he may be sent by bjp to win and then again be shopped at 50 crores,1
169,mannkibaat medical consultation app s reach reflects power of india s digital revolution pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
170,khushbu sundar who is currently serving as the member of the bjp s national executive committee has been nominated for the ncw member soon after being nominated she thanked pm narendramodi on her twitter post khushbu nationalcommissionforwomen bjp,1
171,heavy security presence at ddu marg in view of aap protest at bjp office photos vipin by httweets via unfollowers,1
172,ji writes with airindiain aircraft order pm narendramodi ji has ended the hypocrisy around collaboration namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
173,it seems fishy the way people of bjp are celebrating the arrest of manishsisodia they never even tweeted about any other arrest why is is the vendetta politics why most of the loudspeakers of modiji are happy on this modifearskejriwal is clear aamaadmiparty,1
174,pakistan is going to merge in india it will take time but soon modiji bjp amitshah,1
175,thedeshbhakt tatacompanies airindiain well tata has also bought bjp s electoral bonds there are six more companies bidded for it they haven t been given a fair assessment i think,1
176,aap plans massive dharna against manishsisodia arrest in delhi and report from ground delhiprotest aapprotest bjp liquorscam,0
177,unprecedented development gr8 combination short shortsvideo mumbai trending bjp maharashtra viral viralvideo aartipugaokar cmo bmc mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
178,women beats up bjp leader over harassment in uttar pradesh video goes viral watch viral news trending viralvideo uttarpradesh bjp trending siddharthnagar siddharthnagarpolice trendingvideo,0
179,ramdas athawale takes jibe at oppn says coming back to power is not an issue for bjp and nda rahulgandhi uddhavthackeray bjp,1
180,pm narendramodi ji says uttarpradesh now known for better law and order rapid progress namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
181,maha saw best development under fadnavis with mah to progress short shortsvideo mumbai trending bjp maharashtra viral viralvideo aartipugaokar cmo bmc mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
182,ani why to blame bjp when the arrest is made on the basis of investigation by cbi,0
183,lic shares continue to bleed lic bjp,1
184,with mah to progress unprecedented development short shortsvideo mumbai trending bjp maharashtra viral viralvideo aartipugaokar cmo bmc mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
185,pic of the day modi ji with bsy narendramodi bsybjp bjp bjp4karnataka hbdbsy,1
186,next election to get 200 fadnavis for shining maharashtra short shortsvideo mumbai trending bjp maharashtra viral viralvideo aartipugaokar cmo bmc mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
187,pm narendramodi ji praises in his 98th mannkibaat top 10 points namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
188,aap observes black day holds protests in several states against manish sisodia arrest manishsisodia arrest cbi aap arvindkejriwal bjp excisescam,0
189,polling for meghalaya assembly elections began at 7 am today and nearly lakh voters are eligible to seal the electoral fate of the triangular contest between the bjp the and the tipramotha,1
190,dear fishbowls of aajtak when bjp goons breach barricade it is movement when aap cadres or even goons too some knucklehead from the field say why they are doing it godimedia lage raho,1
191,workers have assembled close to bjp office in kolkata to protest over delhi dy cm manishsisodia arrest by cbi,0
192,who is the real culprit manishsisodia aapexposed aap bjp bjp4india vivekagnihotri,1
193,pm narendramodi ji addresses up rozgarmela police recruits were handed appointments namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat uttarpradesh jaihind newindia via namo app,1
194,nagaland cm neiphiurio expressed hope that the nationalist democratic progressive party ndpp janata party bjp alliance will win the ongoing assembly election electionswithht nagalandelections2023,1
195,aap leaders and workers hit the streets to protest the arrest of dy cm manish sisodia they will not be allowed beyond a few meters from the aap ofc and much ahead of bjp hq,0
196,nareshbareth totally they all are cut from the same cloth aap is bjp chhota packet anyway,0
197,gr8 combination people suppo short shortsvideo mumbai trending bjp maharashtra viral viralvideo aartipugaokar cmo bmc mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
198,many countries drawn to india s upi says pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat mannkibaat jaihind newindia via namo app,1
199,with mah to progress unprecedented development short shortsvideo mumbai trending bjp maharashtra viral viralvideo aartipugaokar cmo bmc mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
200,why narendramodi sells successful public sector companies tweeting adaniscam rahulgandhi mahuamoitra vedanta bjp,1
201,delhi s cm and aap supremo arvind kejriwal on monday claimed that most cbi officials were against manish sisodia s arrest in the delhi excise policy case sisodia sisodiaarrested sisodiaarrest aap bjp cbi,1
202,us praises india says its role on global stage continues to grow namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
203,whose aircraft fell on the pakistan side was captured alive the success of the paf in operationswiftretort against a far bigger adversary is now observed as a surprise day every year india modi bjp iiojk indianarmy jammuandkashmir kashmir,1
204,on 27th feb 2019 during the short aerial encounter paf shot down two iaf aircraft and captured one of the pilots the debris of the fell in iiojk and its pilot was killed while the pilot wing commander abhinandan india modi bjp iiojk indianarmy,0
205,it is the bjp leadership s incurable obsession with pakistan that impels them to invariably blame pakistan for their own failings and shortcomings pulwamaattack,0
206,unprecedented development gr8 combination short shortsvideo mumbai trending bjp maharashtra bmc cmo viralvideo trending aartipugaokar mieknathshinde rkbnow krantishaanbhag pradeepnambiar4 leenakadam20,1
